business_date,account_id,ledger_balance,available_balance,accrued_interest,currency_code,source_cutoff_timestamp
2026-03-29,A1001,42800,42100,12,RON,2026-03-29T20:15:00Z
2026-03-29,A1002,9250,9200,3,EUR,2026-03-29T20:15:00Z
2026-03-29,A1003,18640,18640,21,RON,2026-03-29T20:15:00Z
2026-03-29,A1004,12200,11850,4,RON,2026-03-29T20:15:00Z
2026-03-29,A1005,7200,7180,2,EUR,2026-03-29T20:15:00Z
2026-03-29,A1006,5100,5090,1,RON,2026-03-29T20:15:00Z
2026-03-30,A1001,43120,42620,12,RON,2026-03-30T20:15:00Z
2026-03-30,A1002,9400,9300,3,EUR,2026-03-30T20:15:00Z
2026-03-30,A1003,18810,18810,22,RON,2026-03-30T20:15:00Z
2026-03-30,A1004,12150,11800,4,RON,2026-03-30T20:15:00Z
2026-03-30,A1005,7150,7120,2,EUR,2026-03-30T20:15:00Z
2026-03-30,A1006,5050,5040,1,RON,2026-03-30T20:15:00Z
2026-03-31,A1001,43000,42400,12,RON,2026-03-31T20:15:00Z
2026-03-31,A1002,9300,9250,3,EUR,2026-03-31T20:15:00Z
2026-03-31,A1003,19000,19000,22,RON,2026-03-31T20:15:00Z
2026-03-31,A1004,12300,11950,4,RON,2026-03-31T20:15:00Z
2026-03-31,A1005,7100,7070,2,EUR,2026-03-31T20:15:00Z
2026-03-31,A1006,5000,4990,1,RON,2026-03-31T20:15:00Z
2026-04-01,A1001,43250,42750,12,RON,2026-04-01T20:15:00Z
2026-04-01,A1002,9200,9150,3,EUR,2026-04-01T20:15:00Z
2026-04-01,A1003,19150,19150,23,RON,2026-04-01T20:15:00Z
2026-04-01,A1004,12450,12100,4,RON,2026-04-01T20:15:00Z
2026-04-01,A1005,7250,7220,2,EUR,2026-04-01T20:15:00Z
2026-04-01,A1006,4980,4970,1,RON,2026-04-01T20:15:00Z
