collateral_id,loan_id,property_id,collateral_type,lien_rank,pledged_share_pct,valuation_date,accepted_value_eur,forced_sale_haircut_pct
COL0001,L2001,P0001,residential_house,2,50,2025-03-31,334600,20
COL0002,L2002,P0002,residential_apartment,1,100,2026-03-31,160200,15
COL0003,L2003,P0003,residential_apartment,1,100,2026-03-31,198000,15
COL0004,L2004,P0004,residential_apartment,1,100,2026-03-31,193100,15
COL0005,L2005,P0005,residential_apartment,1,100,2026-03-31,158000,15
COL0006,L2001,P0006,residential_apartment,1,100,2026-03-31,178800,15
COL0007,L2002,P0007,residential_apartment,1,100,2026-03-31,154800,15
COL0008,L2003,P0008,residential_house,1,100,2026-03-31,518700,20
COL0009,L2004,P0009,residential_apartment,1,100,2026-03-31,149100,15
COL0010,L2005,P0010,residential_apartment,1,100,2026-03-31,153000,15
COL0011,L2001,P0011,residential_apartment,1,100,2026-03-31,212900,15
COL0012,L2002,P0012,residential_apartment,1,100,2026-03-31,218100,28
COL0013,L2003,P0013,residential_house,1,100,2026-03-31,288200,20
COL0014,L2004,P0014,residential_apartment,1,50,2026-03-31,137900,15
COL0015,L2005,P0015,residential_apartment,1,100,2026-03-31,170400,15
COL0016,L2001,P0016,residential_apartment,1,100,2026-03-31,166800,15
COL0017,L2002,P0017,residential_apartment,1,100,2026-03-31,135900,15
COL0018,L2003,P0018,residential_apartment,2,100,2026-03-31,153400,15
COL0019,L2004,P0019,residential_apartment,1,100,2026-03-31,133700,15
COL0020,L2005,P0020,residential_house,1,100,2026-03-31,447100,20
COL0021,L2001,P0021,residential_apartment,1,100,2026-03-31,128300,15
COL0022,L2002,P0022,residential_apartment,1,100,2026-03-31,132100,15
COL0023,L2003,P0023,residential_house,1,100,2026-03-31,373700,20
COL0024,L2004,P0024,residential_apartment,1,100,2025-03-31,178800,15
COL0025,L2005,P0025,residential_apartment,1,100,2026-03-31,221100,15
COL0026,L2001,P0026,residential_apartment,1,100,2026-03-31,216100,15
COL0027,L2002,P0027,residential_apartment,1,50,2026-03-31,176400,15
COL0028,L2003,P0028,residential_apartment,1,100,2026-03-31,199200,15
COL0029,L2004,P0029,residential_apartment,1,100,2026-03-31,173300,15
COL0030,L2005,P0030,residential_house,1,100,2026-03-31,579000,20
COL0031,L2001,P0031,residential_apartment,1,100,2026-03-31,166400,15
COL0032,L2002,P0032,residential_apartment,1,100,2026-03-31,171300,15
COL0033,L2003,P0033,residential_house,1,100,2026-03-31,256500,20
COL0034,L2004,P0034,residential_apartment,1,100,2026-03-31,123000,28
COL0035,L2005,P0035,residential_apartment,2,100,2026-03-31,152000,15
COL0036,L2001,P0036,residential_apartment,1,100,2026-03-31,148100,15
COL0037,L2002,P0037,residential_apartment,1,100,2026-03-31,121300,15
COL0038,L2003,P0038,residential_apartment,1,100,2026-03-31,137200,15
COL0039,L2004,P0039,residential_apartment,1,100,2026-03-31,118800,15
COL0040,L2005,P0040,residential_house,1,50,2026-03-31,397900,20
COL0041,L2001,P0041,residential_house,1,100,2026-03-31,233300,20
COL0042,L2002,P0042,residential_apartment,1,100,2026-03-31,111800,15
COL0043,L2003,P0043,residential_apartment,1,100,2026-03-31,138200,15
COL0044,L2004,P0044,residential_apartment,1,100,2026-03-31,134900,15
COL0045,L2005,P0045,residential_apartment,1,100,2026-03-31,110200,28
COL0046,L2001,P0046,residential_apartment,1,100,2026-03-31,124600,15
COL0047,L2002,P0047,residential_apartment,1,100,2025-03-31,108200,15
COL0048,L2003,P0048,residential_house,1,100,2026-03-31,362200,20
COL0049,L2004,P0049,residential_house,1,100,2026-03-31,272300,20
COL0050,L2005,P0050,residential_apartment,1,100,2026-03-31,130400,15
COL0051,L2001,P0051,residential_apartment,1,100,2026-03-31,161200,15
COL0052,L2002,P0052,residential_apartment,2,100,2026-03-31,158000,15
COL0053,L2003,P0053,residential_apartment,1,50,2026-03-31,128600,15
COL0054,L2004,P0054,residential_apartment,1,100,2026-03-31,145700,15
COL0055,L2005,P0055,residential_house,1,100,2026-03-31,279700,20
COL0056,L2001,P0056,residential_apartment,1,100,2026-03-31,134100,28
COL0057,L2002,P0057,residential_apartment,1,100,2026-03-31,165800,15
COL0058,L2003,P0058,residential_apartment,1,100,2026-03-31,162400,15
COL0059,L2004,P0059,residential_apartment,1,100,2026-03-31,132300,15
COL0060,L2005,P0060,residential_apartment,1,100,2026-03-31,149200,15
