as_of_date,loan_id,currency_code,outstanding_principal,dpd_days,ifrs9_stage,arrears_amount,interest_accrued,non_performing_flag
2026-02-28,L2001,RON,250000,0,1,0,850,false
2026-02-28,L2002,RON,120000,12,1,0,710,false
2026-02-28,L2003,EUR,42000,0,1,0,125,false
2026-02-28,L2004,RON,30000,95,3,8000,240,true
2026-02-28,L2005,EUR,15000,5,1,120,60,false
2026-03-15,L2002,RON,119000,50,2,2200,360,false
2026-03-31,L2001,RON,248500,0,1,0,830,false
2026-03-31,L2002,RON,118000,65,2,3000,705,false
2026-03-31,L2003,EUR,40500,0,1,0,120,false
2026-03-31,L2004,RON,29500,125,3,9200,250,true
2026-03-31,L2005,EUR,14500,0,1,0,55,false
