year,geo,unit,house_price_index_2015_100,annual_rate_change_pct,source_id,source_dataset,last_updated
2009,RO,I15_A_AVG,129.28,,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2010,RO,I15_A_AVG,119.54,-7.5,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2011,RO,I15_A_AVG,104.83,-12.3,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2012,RO,I15_A_AVG,99.51,-5.1,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2013,RO,I15_A_AVG,99.26,-0.3,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2014,RO,I15_A_AVG,97.22,-2.1,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2015,RO,I15_A_AVG,100.00,2.9,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2016,RO,I15_A_AVG,105.95,6.0,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2017,RO,I15_A_AVG,112.36,6.0,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2018,RO,I15_A_AVG,118.62,5.6,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2019,RO,I15_A_AVG,122.69,3.4,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2020,RO,I15_A_AVG,128.44,4.7,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2021,RO,I15_A_AVG,134.09,4.4,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2022,RO,I15_A_AVG,143.70,7.2,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2023,RO,I15_A_AVG,148.43,3.3,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2024,RO,I15_A_AVG,155.89,5.0,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
2025,RO,I15_A_AVG,164.82,5.7,SRC-EUROSTAT-HPI-ANNUAL-RO,PRC_HPI_A,2026-04-07
