property_id,property_type,rooms,usable_area_sqm,land_area_sqm,built_year,building_floors,floor_number,energy_class,seismic_risk_class,condition_band,heating_type,parking_spaces
P0001,house,4,118,240,1985,2,0,B,none,average,district,1
P0002,apartment,2,72,0,1992,5,1,C,none,average,individual_gas,0
P0003,apartment,3,89,0,1999,6,2,D,none,average,district,0
P0004,apartment,4,106,0,2006,7,3,A,none,renovated,individual_gas,1
P0005,apartment,1,71,0,2013,8,4,B,none,average,district,0
P0006,apartment,2,68,0,2020,9,5,C,none,average,individual_gas,0
P0007,apartment,3,85,0,1982,10,6,D,none,average,district,1
P0008,house,5,216,295,1989,2,0,A,none,renovated,individual_gas,2
P0009,apartment,1,67,0,1996,4,0,B,none,average,heat_pump,0
P0010,apartment,2,84,0,2003,5,4,C,none,average,individual_gas,1
P0011,apartment,3,81,0,2010,6,4,D,rs3,average,district,0
P0012,apartment,4,98,0,2017,7,4,A,none,renovated,individual_gas,0
P0013,house,4,118,240,1979,2,0,B,none,needs_work,district,1
P0014,apartment,2,72,0,1986,5,1,C,none,average,individual_gas,0
P0015,apartment,3,89,0,1993,6,2,D,none,average,district,0
P0016,apartment,4,106,0,2000,7,3,A,none,renovated,individual_gas,1
P0017,apartment,1,71,0,2007,8,4,B,none,average,district,0
P0018,apartment,2,68,0,2014,9,5,C,none,average,heat_pump,0
P0019,apartment,3,85,0,2021,10,6,D,rs2,average,district,1
P0020,house,5,216,295,1983,2,0,A,none,renovated,individual_gas,2
P0021,apartment,1,67,0,1990,4,0,B,none,average,district,0
P0022,apartment,2,84,0,1997,5,4,C,rs3,average,individual_gas,1
P0023,house,4,118,240,2004,2,0,D,none,average,district,1
P0024,apartment,2,72,0,2011,5,1,A,none,renovated,individual_gas,0
P0025,apartment,3,89,0,2018,6,2,B,none,average,district,0
P0026,apartment,4,106,0,1980,7,3,C,none,needs_work,individual_gas,1
P0027,apartment,1,71,0,1987,8,4,D,none,average,heat_pump,0
P0028,apartment,2,68,0,1994,9,5,A,none,renovated,individual_gas,0
P0029,apartment,3,85,0,2001,10,6,B,none,average,district,1
P0030,house,5,216,295,2008,2,0,C,none,average,individual_gas,2
P0031,apartment,1,67,0,2015,4,0,D,none,average,district,0
P0032,apartment,2,84,0,2022,5,4,A,none,renovated,individual_gas,1
P0033,house,4,118,240,1984,2,0,B,rs3,average,district,1
P0034,apartment,2,72,0,1991,5,1,C,none,average,individual_gas,0
P0035,apartment,3,89,0,1998,6,2,D,none,average,district,0
P0036,apartment,4,106,0,2005,7,3,A,none,renovated,heat_pump,1
P0037,apartment,1,71,0,2012,8,4,B,none,average,district,0
P0038,apartment,2,68,0,2019,9,5,C,rs2,average,individual_gas,0
P0039,apartment,3,85,0,1981,10,6,D,none,needs_work,district,1
P0040,house,5,216,295,1988,2,0,A,none,renovated,individual_gas,2
P0041,house,4,118,240,1995,2,0,B,none,average,district,1
P0042,apartment,2,72,0,2002,5,1,C,none,average,individual_gas,0
P0043,apartment,3,89,0,2009,6,2,D,none,average,district,0
P0044,apartment,4,106,0,2016,7,3,A,rs3,renovated,individual_gas,1
P0045,apartment,1,71,0,1978,8,4,B,none,average,heat_pump,0
P0046,apartment,2,68,0,1985,9,5,C,none,average,individual_gas,0
P0047,apartment,3,85,0,1992,10,6,D,none,average,district,1
P0048,house,5,216,295,1999,2,0,A,none,renovated,individual_gas,2
P0049,house,4,118,240,2006,2,0,B,none,average,district,1
P0050,apartment,2,72,0,2013,5,1,C,none,average,individual_gas,0
P0051,apartment,3,89,0,2020,6,2,D,none,average,district,0
P0052,apartment,4,106,0,1982,7,3,A,none,needs_work,individual_gas,1
P0053,apartment,1,71,0,1989,8,4,B,none,average,district,0
P0054,apartment,2,68,0,1996,9,5,C,none,average,heat_pump,0
P0055,house,4,118,240,2003,2,0,D,rs3,average,district,1
P0056,apartment,2,72,0,2010,5,1,A,none,renovated,individual_gas,0
P0057,apartment,3,89,0,2017,6,2,B,rs2,average,district,0
P0058,apartment,4,106,0,1979,7,3,C,none,average,individual_gas,1
P0059,apartment,1,71,0,1986,8,4,D,none,average,district,0
P0060,apartment,2,68,0,1993,9,5,A,none,renovated,individual_gas,0
