property_id,county,city,sector_or_district,neighborhood,neighborhood_tier,urban_rural,latitude,longitude,center_distance_km_band,transit_access_band,school_access_band,hospital_access_band,market_liquidity_band
P0001,Bucuresti,Bucuresti,Sector 1,Aviatiei,central,urban,44.4560,26.0720,0-2,limited,medium,medium,high
P0002,Bucuresti,Bucuresti,Sector 1,Baneasa,semi-central,urban,44.4620,26.0790,2-6,high,high,high,high
P0003,Bucuresti,Bucuresti,Sector 1,Domenii,semi-central,urban,44.4680,26.0860,2-6,high,high,high,high
P0004,Bucuresti,Bucuresti,Sector 1,Pajura,outer,urban,44.4740,26.0930,6-12,medium,high,high,medium
P0005,Bucuresti,Bucuresti,Sector 1,Aviatiei,semi-central,urban,44.4800,26.1000,2-6,high,high,medium,high
P0006,Bucuresti,Bucuresti,Sector 1,Baneasa,central,urban,44.4860,26.0720,0-2,high,medium,high,high
P0007,Bucuresti,Bucuresti,Sector 1,Domenii,outer,urban,44.4920,26.0790,6-12,limited,high,high,medium
P0008,Bucuresti,Bucuresti,Sector 1,Pajura,semi-central,urban,44.4560,26.0860,2-6,high,high,high,high
P0009,Bucuresti,Bucuresti,Sector 1,Aviatiei,semi-central,urban,44.4620,26.0930,2-6,high,high,medium,high
P0010,Bucuresti,Bucuresti,Sector 1,Baneasa,outer,urban,44.4680,26.1000,6-12,medium,high,high,medium
P0011,Bucuresti,Bucuresti,Sector 1,Domenii,central,urban,44.4740,26.0720,0-2,high,medium,high,high
P0012,Bucuresti,Bucuresti,Sector 1,Pajura,semi-central,urban,44.4800,26.0790,2-6,high,high,high,high
P0013,Bucuresti,Bucuresti,Sector 3,Dristor,central,urban,44.4330,26.1390,0-2,limited,high,medium,high
P0014,Bucuresti,Bucuresti,Sector 3,Titan,semi-central,urban,44.4390,26.1460,2-6,high,high,high,high
P0015,Bucuresti,Bucuresti,Sector 3,Vitan,semi-central,urban,44.4030,26.1530,2-6,high,high,high,high
P0016,Bucuresti,Bucuresti,Sector 3,Unirii,outer,urban,44.4090,26.1250,6-12,medium,medium,high,medium
P0017,Bucuresti,Bucuresti,Sector 3,Dristor,semi-central,urban,44.4150,26.1320,2-6,high,high,medium,high
P0018,Bucuresti,Bucuresti,Sector 3,Titan,central,urban,44.4210,26.1390,0-2,high,high,high,high
P0019,Bucuresti,Bucuresti,Sector 3,Vitan,outer,urban,44.4270,26.1460,6-12,limited,high,high,medium
P0020,Bucuresti,Bucuresti,Sector 3,Unirii,semi-central,urban,44.4330,26.1530,2-6,high,high,high,high
P0021,Bucuresti,Bucuresti,Sector 3,Dristor,semi-central,urban,44.4390,26.1250,2-6,high,medium,medium,high
P0022,Bucuresti,Bucuresti,Sector 3,Titan,outer,urban,44.4030,26.1320,6-12,medium,high,high,medium
P0023,Cluj,Cluj-Napoca,Municipiu,Centru,central,urban,46.7590,23.6230,0-2,high,high,high,high
P0024,Cluj,Cluj-Napoca,Municipiu,Marasti,semi-central,urban,46.7650,23.6300,2-6,high,high,high,high
P0025,Cluj,Cluj-Napoca,Municipiu,Manastur,semi-central,urban,46.7710,23.6370,2-6,limited,high,medium,high
P0026,Cluj,Cluj-Napoca,Municipiu,Zorilor,outer,urban,46.7770,23.6090,6-12,high,medium,high,medium
P0027,Cluj,Cluj-Napoca,Municipiu,Centru,semi-central,urban,46.7830,23.6160,2-6,high,high,high,high
P0028,Cluj,Cluj-Napoca,Municipiu,Marasti,central,urban,46.7890,23.6230,0-2,medium,high,high,high
P0029,Cluj,Cluj-Napoca,Municipiu,Manastur,outer,urban,46.7530,23.6300,6-12,high,high,medium,medium
P0030,Cluj,Cluj-Napoca,Municipiu,Zorilor,semi-central,urban,46.7590,23.6370,2-6,high,high,high,high
P0031,Cluj,Cluj-Napoca,Municipiu,Centru,semi-central,urban,46.7650,23.6090,2-6,limited,medium,high,high
P0032,Cluj,Cluj-Napoca,Municipiu,Marasti,outer,urban,46.7710,23.6160,6-12,high,high,high,medium
P0033,Timis,Timisoara,Municipiu,Cetate,central,urban,45.7540,21.2270,0-2,high,high,medium,high
