valuation_id,property_id,valuation_date,valuation_method,market_value_eur,market_value_ron,price_per_sqm_eur,confidence_band,haircut_pct,valuation_source_model,benchmark_band_id
VAL-P0001-2025-03-31,P0001,2025-03-31,desktop_indexed,310300,1542190,2630,wide,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-HOUSE
VAL-P0001-2025-12-31,P0001,2025-12-31,market_comparable,321600,1598350,2725,wide,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-HOUSE
VAL-P0001-2026-03-31,P0001,2026-03-31,market_comparable,328000,1630160,2780,wide,20,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-CENTRAL-HOUSE
VAL-P0002-2025-03-31,P0002,2025-03-31,desktop_indexed,150100,746000,2085,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0002-2025-12-31,P0002,2025-12-31,market_comparable,155500,772840,2160,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0002-2026-03-31,P0002,2026-03-31,market_comparable,158800,789240,2205,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0003-2025-03-31,P0003,2025-03-31,desktop_indexed,187300,930880,2105,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0003-2025-12-31,P0003,2025-12-31,market_comparable,194000,964180,2180,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0003-2026-03-31,P0003,2026-03-31,market_comparable,198000,984060,2225,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
VAL-P0004-2025-03-31,P0004,2025-03-31,desktop_indexed,199300,990520,1880,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0004-2025-12-31,P0004,2025-12-31,market_comparable,206700,1027300,1950,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0004-2026-03-31,P0004,2026-03-31,market_comparable,210400,1045690,1985,narrow,22,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT
VAL-P0005-2025-03-31,P0005,2025-03-31,desktop_indexed,152700,758920,2150,narrow,15,synthetic-official-context-v1,PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT
